date,home_team,away_team,home_score,away_score,
16/12/2017,Japão,Coreia do Sul,1,4,
14/11/2017,Bélgica,Japão,1,0,
14/11/2017,Inglaterra,Brasil,0,0,
14/11/2017,Alemanha,França,2,2,
14/11/2017,Coreia do Sul,Sérvia,1,1,
14/11/2017,Portugal,Estados Unidos,1,1,
13/11/2017,Polônia,México,0,1,
11/11/2017,Espanha,Costa Rica,5,0,
10/11/2017,Bélgica,México,3,3,
10/11/2017,Inglaterra,Alemanha,0,0,
10/11/2017,França,País de Gales,2,0,
10/11/2017,Japão,Brasil,1,3,
10/11/2017,Polônia,Uruguai,0,0,
10/11/2017,Portugal,Arábia Saudita,3,0,
10/10/2017,Equador,Argentina,1,3,
10/10/2017,Coreia do Sul,Marrocos,1,3,
10/10/2017,Portugal,Suíça,2,0,
10/10/2017,Arábia Saudita,Gana,0,3,
05/09/2017,Costa Rica,México,1,1,
05/09/2017,Arábia Saudita,Japão,1,0,
01/09/2017,Dinamarca,Polônia,4,0,
01/09/2017,Estados Unidos,Costa Rica,0,2,
31/08/2017,Brasil,Equador,2,0,
31/08/2017,França,Holanda,4,0,
31/08/2017,Japão,Austrália,2,0,
31/08/2017,Coreia do Sul,Irã,0,0,
31/08/2017,Uruguai,Argentina,0,0,
22/07/2017,Estados Unidos,Costa Rica,2,0,
11/07/2017,Costa Rica,Canadá,1,1,
02/07/2017,Portugal,México,2,1,
01/07/2017,Estados Unidos,Gana,2,1,
29/06/2017,Alemanha,México,4,1,
25/06/2017,Alemanha,Camarões,3,1,
22/06/2017,Camarões,Austrália,1,1,
19/06/2017,Austrália,Alemanha,2,3,
18/06/2017,Portugal,México,2,2,
13/06/2017,Austrália,Brasil,0,4,
13/06/2017,França,Inglaterra,3,2,
13/06/2017,Catar,Coreia do Sul,3,2,
11/06/2017,México,Estados Unidos,1,1,
11/06/2017,Sérvia,País de Gales,1,1,
10/06/2017,Camarões,Marrocos,1,0,
09/06/2017,Argentina,Brasil,1,0,
08/06/2017,Austrália,Arábia Saudita,3,2,
06/06/2017,Dinamarca,Alemanha,1,1,
31/05/2017,Marrocos,Holanda,1,2,
28/05/2017,México,Croácia,1,2,
28/03/2017,França,Espanha,0,2,
28/03/2017,Marrocos,Tunísia,1,0,
24/03/2017,México,Costa Rica,2,0,
24/03/2017,Tunísia,Camarões,0,1,
23/03/2017,Catar,Irã,0,1,
23/03/2017,Uruguai,Brasil,1,4,
22/03/2017,Alemanha,Inglaterra,1,0,
02/02/2017,Camarões,Gana,2,0,
29/01/2017,Estados Unidos,Sérvia,0,0,
28/01/2017,Senegal,Camarões,0,0,
15/01/2017,Tunísia,Senegal,0,2,
15/11/2016,Costa Rica,Estados Unidos,4,0,
15/11/2016,Inglaterra,Espanha,2,2,
15/11/2016,Japão,Arábia Saudita,2,1,
12/11/2016,País de Gales,Sérvia,1,1,
11/11/2016,Coreia do Sul,Canadá,2,0,
11/11/2016,Estados Unidos,México,1,2,
10/11/2016,Brasil,Argentina,3,0,
10/11/2016,Uruguai,Equador,2,1,
09/11/2016,Holanda,Bélgica,1,1,
11/10/2016,Austrália,Japão,1,1,
11/10/2016,Irã,Coreia do Sul,1,0,
11/10/2016,Marrocos,Canadá,4,0,
10/10/2016,Holanda,França,0,1,
08/10/2016,Polônia,Dinamarca,3,2,
06/10/2016,Coreia do Sul,Catar,3,2,
06/10/2016,Arábia Saudita,Austrália,2,2,
29/09/2016,Catar,Sérvia,3,0,
06/09/2016,Suíça,Portugal,2,0,
01/09/2016,Argentina,Uruguai,1,0,
01/09/2016,Bélgica,Espanha,0,2,
01/09/2016,Equador,Brasil,0,3,
01/09/2016,Irã,Catar,2,0,
10/07/2016,França,Portugal,0,1,
07/07/2016,França,Alemanha,2,0,
06/07/2016,Portugal,País de Gales,2,0,
01/07/2016,País de Gales,Bélgica,3,1,
30/06/2016,Polônia,Portugal,1,1,
25/06/2016,Croácia,Portugal,0,1,
25/06/2016,Suíça,Polônia,1,1,
21/06/2016,Croácia,Espanha,2,1,
21/06/2016,Estados Unidos,Argentina,0,4,
19/06/2016,França,Suíça,0,0,
16/06/2016,Inglaterra,País de Gales,2,1,
16/06/2016,Alemanha,Polônia,0,0,
16/06/2016,Estados Unidos,Equador,2,1,
07/06/2016,Estados Unidos,Costa Rica,4,0,
05/06/2016,México,Uruguai,3,1,
04/06/2016,Brasil,Equador,0,0,
02/06/2016,Inglaterra,Portugal,1,0,
01/06/2016,Polônia,Holanda,1,2,
01/06/2016,Espanha,Coreia do Sul,6,1,
30/05/2016,França,Camarões,3,2,
28/05/2016,Suíça,Bélgica,1,2,
27/05/2016,Inglaterra,Austrália,2,1,
29/03/2016,Inglaterra,Holanda,1,2,
29/03/2016,México,Canadá,2,0,
29/03/2016,Portugal,Bélgica,2,1,
26/03/2016,Alemanha,Inglaterra,2,3,
25/03/2016,Brasil,Uruguai,2,2,
25/03/2016,Canadá,México,0,3,
25/03/2016,Holanda,França,2,3,
23/03/2016,Polônia,Sérvia,1,0,
17/11/2015,Inglaterra,França,2,0,
13/11/2015,Argentina,Brasil,1,1,
13/11/2015,França,Alemanha,2,0,
13/11/2015,Espanha,Inglaterra,2,0,
13/11/2015,País de Gales,Holanda,2,3,
12/11/2015,Equador,Uruguai,2,1,
25/10/2015,Tunísia,Marrocos,2,3,
13/10/2015,Irã,Japão,1,1,
11/10/2015,Dinamarca,França,1,2,
11/10/2015,Sérvia,Portugal,1,2,
10/10/2015,Estados Unidos,México,2,3,
08/10/2015,Argentina,Equador,0,2,
08/10/2015,Portugal,Dinamarca,1,0,
08/09/2015,Inglaterra,Suíça,2,0,
08/09/2015,México,Argentina,2,2,
07/09/2015,França,Sérvia,2,1,
05/09/2015,Costa Rica,Brasil,0,1,
04/09/2015,Alemanha,Polônia,3,1,
04/09/2015,Portugal,França,0,1,
05/08/2015,Japão,Coreia do Sul,1,1,
19/07/2015,México,Costa Rica,1,0,
14/07/2015,Canadá,Costa Rica,0,0,
27/06/2015,México,Costa Rica,2,2,
19/06/2015,México,Equador,1,2,
16/06/2015,Argentina,Uruguai,1,0,
15/06/2015,Marrocos,Tunísia,1,1,
13/06/2015,Dinamarca,Sérvia,2,0,
12/06/2015,País de Gales,Bélgica,1,0,
11/06/2015,Espanha,Costa Rica,2,1,
10/06/2015,Alemanha,Estados Unidos,1,2,
07/06/2015,Brasil,México,2,0,
07/06/2015,França,Bélgica,3,4,
05/06/2015,Holanda,Estados Unidos,3,4,
15/04/2015,Estados Unidos,México,2,0,
31/03/2015,Holanda,Espanha,2,0,
31/03/2015,Suíça,Estados Unidos,1,1,
29/03/2015,França,Dinamarca,2,0,
29/03/2015,Portugal,Sérvia,2,1,
28/03/2015,Gana,Senegal,1,2,
28/03/2015,Marrocos,Uruguai,0,1,
27/03/2015,Japão,Tunísia,2,0,
26/03/2015,França,Brasil,1,3,
25/03/2015,Dinamarca,Estados Unidos,3,2,
25/03/2015,Alemanha,Austrália,2,2,
31/01/2015,Austrália,Coreia do Sul,2,1,
19/01/2015,Gana,Senegal,1,2,
17/01/2015,Austrália,Coreia do Sul,0,1,
15/01/2015,Catar,Irã,0,1,
04/01/2015,Coreia do Sul,Arábia Saudita,2,0,
26/11/2014,Arábia Saudita,Catar,1,2,
18/11/2014,Irã,Coreia do Sul,1,0,
18/11/2014,Japão,Austrália,2,1,
18/11/2014,Portugal,Argentina,1,0,
18/11/2014,Espanha,Alemanha,0,1,
16/11/2014,Bélgica,País de Gales,0,0,
14/11/2014,Sérvia,Dinamarca,1,3,
13/11/2014,Arábia Saudita,Catar,1,1,
13/11/2014,Uruguai,Costa Rica,3,3,
12/11/2014,Argentina,Croácia,2,1,
12/11/2014,Holanda,México,2,3,
15/10/2014,Tunísia,Senegal,1,0,
14/10/2014,Dinamarca,Portugal,0,1,
14/10/2014,Japão,Brasil,0,4,
14/10/2014,Coreia do Sul,Costa Rica,1,3,
14/10/2014,Catar,Austrália,1,0,
11/10/2014,Argentina,Brasil,0,2,
11/10/2014,França,Portugal,2,1,
11/10/2014,Polônia,Alemanha,2,0,
10/10/2014,Arábia Saudita,Uruguai,1,1,
10/10/2014,Senegal,Tunísia,0,0,
08/09/2014,Austrália,Arábia Saudita,3,2,
08/09/2014,Coreia do Sul,Uruguai,0,1,
08/09/2014,Suíça,Inglaterra,0,2,
07/09/2014,Sérvia,França,1,1,
05/09/2014,Japão,Uruguai,0,2,
04/09/2014,Bélgica,Austrália,2,0,
04/09/2014,França,Espanha,1,0,
03/09/2014,Alemanha,Argentina,2,4,
03/09/2014,Marrocos,Catar,0,0,
13/07/2014,Alemanha,Argentina,1,0,
12/07/2014,Brasil,Holanda,0,3,
09/07/2014,Holanda,Argentina,0,0,
08/07/2014,Brasil,Alemanha,1,7,
05/07/2014,Argentina,Bélgica,1,0,
05/07/2014,Holanda,Costa Rica,0,0,
04/07/2014,França,Alemanha,0,1,
01/07/2014,Argentina,Suíça,1,0,
01/07/2014,Bélgica,Estados Unidos,2,1,
29/06/2014,Holanda,México,2,1,
26/06/2014,Coreia do Sul,Bélgica,0,1,
26/06/2014,Portugal,Gana,2,1,
26/06/2014,Estados Unidos,Alemanha,0,1,
25/06/2014,Equador,França,0,0,
24/06/2014,Costa Rica,Inglaterra,0,0,
23/06/2014,Austrália,Espanha,0,3,
23/06/2014,Brasil,Camarões,4,1,
23/06/2014,Croácia,México,1,3,
22/06/2014,Estados Unidos,Portugal,2,2,
21/06/2014,Argentina,Irã,1,0,
21/06/2014,Alemanha,Gana,2,2,
20/06/2014,Suíça,França,2,5,
19/06/2014,Uruguai,Inglaterra,2,1,
18/06/2014,Austrália,Holanda,2,3,
18/06/2014,Camarões,Croácia,0,4,
17/06/2014,Brasil,México,0,0,
16/06/2014,Alemanha,Portugal,4,0,
16/06/2014,Gana,Estados Unidos,1,2,
15/06/2014,Suíça,Equador,2,1,
14/06/2014,Uruguai,Costa Rica,1,3,
13/06/2014,México,Camarões,1,0,
13/06/2014,Espanha,Holanda,1,5,
12/06/2014,Brasil,Croácia,3,1,
09/06/2014,Gana,Coreia do Sul,4,0,
07/06/2014,Bélgica,Tunísia,1,0,
06/06/2014,Brasil,Sérvia,1,0,
06/06/2014,Croácia,Austrália,1,0,
06/06/2014,México,Portugal,0,1,
04/06/2014,Equador,Inglaterra,2,2,
04/06/2014,Holanda,País de Gales,2,0,
02/06/2014,Costa Rica,Japão,1,3,
01/06/2014,Alemanha,Camarões,2,2,
31/05/2014,México,Equador,3,1,
31/05/2014,Holanda,Gana,1,0,
28/05/2014,Coreia do Sul,Tunísia,0,1,
17/05/2014,Holanda,Equador,1,1,
13/05/2014,Alemanha,Polônia,0,0,
05/03/2014,Austrália,Equador,3,4,
05/03/2014,Inglaterra,Dinamarca,1,0,
05/03/2014,França,Holanda,2,0,
05/03/2014,Portugal,Camarões,5,1,
05/03/2014,Suíça,Croácia,2,2,
01/02/2014,Estados Unidos,Coreia do Sul,2,0,
29/01/2014,México,Coreia do Sul,4,0,
25/01/2014,Costa Rica,Coreia do Sul,0,1,
31/12/2013,Catar,Arábia Saudita,4,1,
19/11/2013,Austrália,Costa Rica,1,0,
19/11/2013,Bélgica,Japão,2,3,
19/11/2013,Inglaterra,Alemanha,0,1,
17/11/2013,Camarões,Tunísia,4,1,
16/11/2013,Holanda,Japão,2,2,
15/11/2013,Argentina,Equador,0,0,
15/11/2013,Coreia do Sul,Suíça,2,1,
15/10/2013,Austrália,Canadá,3,0,
15/10/2013,Bélgica,País de Gales,1,1,
15/10/2013,Costa Rica,México,2,1,
15/10/2013,Inglaterra,Polônia,2,0,
15/10/2013,Uruguai,Argentina,3,2,
13/10/2013,Tunísia,Camarões,0,0,
12/10/2013,Coreia do Sul,Brasil,0,2,
11/10/2013,Croácia,Bélgica,1,2,
11/10/2013,Equador,Uruguai,1,0,
11/10/2013,França,Austrália,6,0,
11/10/2013,Sérvia,Japão,2,0,
10/09/2013,Brasil,Portugal,3,1,
10/09/2013,Japão,Gana,3,1,
10/09/2013,Coreia do Sul,Croácia,1,2,
10/09/2013,Estados Unidos,México,2,0,
10/09/2013,País de Gales,Sérvia,0,3,
07/09/2013,Brasil,Austrália,6,0,
06/09/2013,Costa Rica,Estados Unidos,3,1,
06/09/2013,Sérvia,Croácia,1,1,
14/08/2013,Bélgica,França,0,0,
14/08/2013,Equador,Espanha,0,2,
14/08/2013,Japão,Uruguai,2,4,
14/08/2013,Polônia,Dinamarca,3,2,
14/08/2013,Portugal,Holanda,1,1,
14/08/2013,Suíça,Brasil,1,0,
28/07/2013,Coreia do Sul,Japão,1,2,
25/07/2013,Japão,Austrália,3,2,
20/07/2013,Coreia do Sul,Austrália,0,0,
16/07/2013,Estados Unidos,Costa Rica,1,0,
13/07/2013,Marrocos,Tunísia,0,0,
